1 75.288
2 74.3069
3 -nan
4 74.509
5 74.9467
6 75.5491
7 75.8623
8 75.8718
9 87.4638
10 106.057
11 97.3167
12 112.218
13 104.154
14 101.404
15 107.166
16 112.639
17 115.219
18 117.543
19 107.102
20 104.32
21 107.902
22 107.571
23 112.656
24 104.371
25 111.761
26 105.78
27 104.773
28 97.4325
29 103.34
30 102.214
31 90.1029
32 101.704
33 98.8766
34 96.9965
35 113.343
36 97.2854
